Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
14.49,2,0.1076212263139345608875872296,0.115671123861407,0.112663395085482,0.107752466109846,0.104742903989993,0.224984894945575,0.2287797360117410126940348889,0.1978361238307292126940348889,0.0309436121810118,7.4208452826442296182642893061,79.88014067988306514370395491,79.78628788361558348887144816,1213238000
14.50,2,0.1076060732846270808875872296,0.115653329680673,0.112649551072094,0.107737294602024,0.104731685057319,0.224909918296558,0.2287043218873734520329027489,0.1977509169723005520329027489,0.0309534049150729,7.4179425147042293112401118592,79.87141805289188055078373072,79.77862730531974496202902558,1214075000
14.51,2,0.1075909618393454308875872296,0.115635578135419,0.112635741908999,0.107722164728937,0.104720499969448,0.224834969850255,0.2286289371647968296653403247,0.1976657267687687296653403247,0.0309632103960281,7.4150411388860381344217083972,79.86269134012537495750695103,79.77096216207099767182399994,1214912000
14.52,2,0.1075758618594668408875872296,0.115617843615808,0.112621942006813,0.107707046335235,0.104709318591494,0.224760180298793,0.2285537115634677950205178391,0.1975806829395909950205178391,0.0309730286238768,7.4121448700208995690368646356,79.85398633478439055786229214,79.76331528365186232912282905,1215750000
14.53,2,0.1075607919486521508875872296,0.115600142893472,0.112608168157547,0.107691958047264,0.104698159570197,0.224685496204243,0.2284785922640434404496540527,0.1974957326654238404496540527,0.0309828595986196,7.4092521935886453642273206887,79.84525605953027766245296263,79.75564515371704906542942954,1216587000
14.54,2,0.1075457492591644808875872296,0.115582470586755,0.112594414999864,0.107676897013816,0.104687020074678,0.224610845153136,0.2284035067100580198160733355,0.1974108033898017198160733355,0.0309927033202563,7.4063610296421680272638850675,79.83655671136511113609727547,79.74800139093317307845557215,1217424000
14.55,2,0.1075307237890644908875872296,0.11556481912206,0.112580674980418,0.107661853220754,0.104675890111063,0.224536297207497,0.2283285246572507457833908641,0.1973259648684640457833908641,0.0310025597887867,7.4034733751787760312452750876,79.82787056150728963221658542,79.74036836048550303841950432,1218261000
14.56,2,0.1075157401368062708875872296,0.115547212258647,0.112566971878648,0.10764685129653,0.104664794327998,0.224461827046288,0.2282536216298964426243579050,0.1972411926256853426243579050,0.0310124290042111,7.4005885276631171573992764613,79.81919096909324116739727835,79.73274018808276250376437523,1219099000
14.57,2,0.1075007694622495408875872296,0.115529623593275,0.112553279311434,0.107631862365832,0.104653703870303,0.224387505963699,0.2281788679579980453852706434,0.1971565569914687453852706434,0.0310223109665293,7.3977085005439007169536749028,79.81053082312781409548301792,79.72512828691672689920095474,1219936000
14.58,2,0.1074858285737362308875872296,0.115512067256483,0.112539611429366,0.107616903257501,0.104642635586881,0.224313256396024,0.2281041866189491845700203867,0.1970719809432079845700203867,0.0310322056757412,7.3948310859285551090502105245,79.80188068653835331949838757,79.71752429450063058715012072,1220773000
14.59,2,0.1074709103308429008875872296,0.11549453587794,0.112525960882099,0.107601966822405,0.1046315823486,0.224239072133066,0.2280295711498097783954440790,0.1969874580179624783954440790,0.0310421131318473,7.3919560973099896409596918422,79.79319007205662431766461887,79.70988359258656483960924792,1221611000
14.60,2,0.1074560137423664208875872296,0.115477028823268,0.112512327055176,0.107587052068132,0.10462054318298,0.224164963444153,0.2279550317922097917448739190,0.1969029984573627917448739190,0.031052033334847,7.3890838267318692318238589682,79.78454183034000276098408777,79.70227940064676134451824182,1222448000
14.61,2,0.1074411473675878908875872296,0.115459555892908,0.112498719768894,0.107572167564402,0.104609526679609,0.224090965422284,0.2278806039604940432525083164,0.1968186376757534432525083164,0.0310619662847406,7.386215287382993020784452016,79.77590462800270965706106029,79.69468404255025406507206687,1223285000
14.62,2,0.1074262951189693908875872296,0.115442100622158,0.112485122578341,0.107557297204058,0.104598516751133,0.224017068109164,0.2278062771285133558621954516,0.1967343651469851558621954516,0.0310719119815282,7.3833501763539155551122794981,79.7672848356536786817161333,79.68710314717273960722676182,1224122000
14.63,2,0.1074114818674656508875872296,0.115424687288183,0.11247155978041,0.107542465888385,0.104587538318576,0.223943253197001,0.2277320338475792850705359924,0.1966501634223697850705359924,0.0310818704252095,7.3804879924190897199921043314,79.75866236887154113596703458,79.67951895767868846330474585,1224960000
14.64,2,0.1073966908868730208875872296,0.115407299901515,0.112458015405294,0.107527656870781,0.10457657465501,0.223869542658858,0.2276578955200297121300556942,0.1965660539042449121300556942,0.0310918416157848,7.3776293473528846445656666248,79.7500593818928431905430779,79.67195106440999284583044462,1225797000
14.65,2,0.1073819190791759408875872296,0.115389933046572,0.112444484057011,0.107512867049453,0.104565622678253,0.22379587029,0.2275837957931430357732610387,0.1964819702398891357732610387,0.0311018255532539,7.3747723389323855000607520952,79.74141349881606074387395454,79.6643443056022398217683939,1226634000
14.66,2,0.1073671808271516808875872296,0.115372604896766,0.112430983928507,0.107498110824718,0.104554696808168,0.223722343885645,0.2275098430313971490344999556,0.1963980207937802490344999556,0.0311118222376169,7.3719200702137385477051464567,79.73282654718387706803343093,79.65678873439606332971715665,1227472000
14.67,2,0.1073524542004050808875872296,0.115355290716033,0.112417490303187,0.107483366239437,0.104543775107098,0.223648884250404,0.2274359572250483285935247139,0.1963141255561746285935247139,0.0311218316688737,7.3690702477292049105975670194,79.72423566739505911771801172,79.64922875704003153775087094,1228309000
14.68,2,0.1073377651032647308875872296,0.115338016663179,0.112404029359268,0.107468659229528,0.104532883530383,0.223575497313565,0.2273621452133804850585213777,0.1962302913663560850585213777,0.0311318538470244,7.3662230660523518060088222991,79.71565473684970913773687222,79.64167664553173002279420143,1229146000
14.69,2,0.1073230907111205608875872296,0.1153207613761,0.112390579753988,0.107453966942548,0.104521999244933,0.223502226151055,0.2272884493012282783188316144,0.1961465605291593783188316144,0.0311418887720689,7.3633797357699688491236752106,79.70709060392843902491910306,79.63413846919649145969464785,1229983000
14.70,2,0.1073084452124930308875872296,0.11530353868676,0.112377155338595,0.107439303584318,0.104511136475867,0.223429059808366,0.2272148590241574045537847347,0.1960629225801500045537847347,0.0311519364440074,7.360539955740637255126888664,79.69849821926641863432938718,79.62657438813052646433160322,1230821000
14.71,2,0.1072938199863446008875872296,0.115286339120823,0.112363746657972,0.10742466052329,0.104500286610865,0.223355974301232,0.2271413500825350586832334676,0.1959793532196954586832334676,0.0311619968628396,7.3577030284737111392032255767,79.68995010192363290601969872,79.61904852590348874298731168,1231658000
14.72,2,0.1072792272212751508875872296,0.115269174030654,0.11235036508364,0.107410049962925,0.104489461872558,0.223282945043718,0.2270678983022623000658507289,0.1958958282736967000658507289,0.0311720700285656,7.3548682600748134665374488588,79.6814007078427797988445277,79.61152060140825253573607925,1232495000
14.73,2,0.1072646555059241908875872296,0.11525203406937,0.112337001287813,0.107395460477948,0.104478650854778,0.223210031752024,0.2269945630376267149595526708,0.1958124070964409149595526708,0.0311821559411858,7.3520373495615673723143214265,79.67286680686235170612076781,79.60400546330677648719936383,1233333000
